,Reason i,Reason j,Correlations,Human Score
0,"If Alexis is telling the truth, then Christie is lying.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.17460842547557118,
1,"If Alexis is telling the truth, then Christie is lying.","If Audrie is telling the truth, then Christie is telling the truth.",0.1541322349993807,
2,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.13494856152999293,
3,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.12331590846876844,
4,"If Audrie is telling the truth, then Christie is telling the truth.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.10923427581570722,
5,"If Alexis is telling the truth, then Christie is lying.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.09556080642795212,
6,Gwenn is telling the truth.,Christie does not tell the truth.,0.08964243908101333,
7,Delbert is lying.,Gwenn is telling the truth.,0.08855400370686367,
8,"If Alexis is telling the truth, then Christie is lying.",Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,0.08778302865017434,
9,"If Audrie is telling the truth, then Christie is telling the truth.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.08488053431910858,
10,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.07787373159802014,
11,"If Audrie is telling the truth, then Christie is telling the truth.",Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,0.06420026221026504,
12,Audrie tells the truth.,Gwenn is telling the truth.,0.06338393567965278,
13,Delbert is lying.,Christie does not tell the truth.,0.061071010509584765,
14,"If Alexis is telling the truth, then Christie is lying.",Christie's statement about Audrie lying results in a contradiction if Audrie lies.,0.06095763182477751,
15,Audrie tells the truth.,Christie is telling the truth.,0.060345386926818324,
16,Gwenn is telling the truth.,Christie is telling the truth.,0.059438357448360284,
17,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,0.058984842709131256,
18,Delbert is lying.,Audrie tells the truth.,0.05862203091774803,
19,Delbert is lying.,Christie is telling the truth.,0.05467645268645551,
20,"Therefore, Alexis tells the truth.","If Gwenn lies about Delbert, Audrie tells the truth.",0.05317985404699973,
21,"If Audrie tells the truth, then Alexis tells the truth.",Delbert tells the truth implies Audrie tells the truth,0.0525449334120791,
22,"If Alexis is telling the truth, then Christie is lying.","If Gwenn lies about Delbert, Audrie tells the truth.",0.050957631824777506,
23,Delbert is lying.,Alexis does not tell the truth.,0.05059482003339429,
24,Audrie tells the truth.,"Yes, Alexis lies.",0.04923427581570722,
25,Delbert is lying.,"Yes, Alexis lies.",0.045152643162646,
26,Alexis tells the truth,Delbert tells the truth implies Audrie tells the truth,0.04481250710822422,
27,"Yes, Alexis lies.","If Delbert is lying, Audrie must be telling the truth.",0.04447237105380246,
28,Delbert is lying.,Audrie is lying,0.04392815336672762,
29,"Yes, Alexis lies.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.043111826836115384,
30,Audrie tells the truth.,Christie does not tell the truth.,0.04247690620119475,
31,Alexis does not tell the truth.,Gwenn is telling the truth.,0.04107101050958477,
32,"Therefore, Audrie is lying.","Therefore, Christie is lying.",0.04107101050958477,
33,"If Alexis is telling the truth, then Christie is lying.","Therefore, Alexis tells the truth.",0.03984652071366639,
34,Gwenn is telling the truth.,Audrie is lying,0.03916624860482286,
35,"Delbert lies, Gwenn tells the truth about Delbert.",Audrie lies about Gwenn.,0.03866738239167093,
36,"Yes, Alexis lies.","Therefore, Christie is lying.",0.03834992207421062,
37,"If Audrie tells the truth, then Alexis tells the truth.","If Delbert is lying, Audrie must be telling the truth.",0.03794175880890449,
38,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,"Based on the analysis of the chain of statements, Alexis is telling the truth.",0.03757894701752127,
39,Alexis tells the truth,"If Audrie tells the truth, then Alexis tells the truth.",0.03698937785652354,
40,Christie is telling the truth.,Audrie is lying,0.03664924180210177,
41,Christie is telling the truth.,"Yes, Alexis lies.",0.03630910574768001,
42,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,Christie is lying about Audrie,0.03630910574768,
43,Christie is telling the truth.,Alexis tells the truth,0.035288697584414705,
44,Alexis tells the truth,Delbert tells the truth,0.0352886975844147,
45,"Delbert lies, Gwenn tells the truth about Delbert.","If Alexis is telling the truth, then Christie is lying.",0.03524334611049179,
46,"Delbert lies, Gwenn tells the truth about Delbert.",Christie tells the truth about Audrie.,0.03506194021480019,
47,"Yes, Alexis lies.","Therefore, Audrie is lying.",0.03494856152999293,
48,Audrie lies about Gwenn.,"If Alexis is telling the truth, then Christie is lying.",0.034767155634301314,
49,Alexis does not tell the truth.,Christie is telling the truth.,0.034268289421149394,
