,Reason i,Reason j,Correlations,Human Score
0,Alexis tells the truth since all statements align if we assume Delbert is lying.,Delbert is lying.,0.0024315547272718407,
1,Alexis tells the truth since all statements align if we assume Delbert is lying.,Gwenn is telling the truth.,0.0024315547272718407,
2,Audrie tells the truth.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.0020233914619657185,
3,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.","If Audrie tells the truth, then Alexis tells the truth.",0.001751282618428305,
4,Alexis does not tell the truth.,"Therefore, Alexis tells the truth.",0.0016152281966595981,
5,"If Alexis is telling the truth, then Christie is lying.",Alexis tells the truth,0.0012750921422378311,
6,"If Audrie is telling the truth, then Christie is telling the truth.","If Audrie tells the truth, then Alexis tells the truth.",0.0007989016660473539,
7,Alexis tells the truth since all statements align if we assume Delbert is lying.,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,0.000708198718201547,
8,"If Alexis is telling the truth, then Christie is lying.",Delbert tells the truth,5.250872396556083e-06,
9,"If Alexis is telling the truth, then Christie is lying.",Audrie is lying,-0.000629669762524078,
10,Delbert is lying.,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,-0.0008337513951771382,
11,Gwenn is telling the truth.,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,-0.0008337513951771382,
12,Audrie tells the truth.,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,-0.0008791028691000416,
13,"Therefore, Alexis tells the truth.",Alexis tells the truth,-0.0017861323475580893,
14,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,Christie does not tell the truth.,-0.0029199191956306506,
15,"If Gwenn lies about Delbert, Audrie tells the truth.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.0030106221434764574,
16,"Delbert lies, Gwenn tells the truth about Delbert.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.0037589214632043517,
17,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,"Yes, Alexis lies.",-0.003826948674088698,
18,Delbert is lying.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.004099057517626115,
19,Gwenn is telling the truth.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.004099057517626115,
20,Alexis tells the truth,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.004847356837354006,
21,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.006548037109462848,
22,Alexis tells the truth since all statements align if we assume Delbert is lying.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.007432390850959453,
23,Delbert is lying.,Alexis tells the truth,-0.009269125544836998,
24,Gwenn is telling the truth.,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,-0.009949397653680535,
25,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",Christie does not tell the truth.,-0.010017424864564896,
26,"If Audrie is telling the truth, then Christie is telling the truth.",Christie's statement about Audrie lying results in a contradiction if Audrie lies.,-0.010221506497217953,
27,"If Audrie is telling the truth, then Christie is telling the truth.",Christie does not tell the truth.,-0.010221506497217953,
28,"If Alexis is telling the truth, then Christie is lying.","If Audrie tells the truth, then Alexis tells the truth.",-0.010947130079984397,
29,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.","Yes, Alexis lies.",-0.011309941871367614,
30,Alexis tells the truth since all statements align if we assume Delbert is lying.,"If Alexis is telling the truth, then Christie is lying.",-0.011740780873635191,
31,Alexis does not tell the truth.,Alexis tells the truth,-0.012670486089054685,
32,Christie is telling the truth.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.012670486089054685,
33,Alexis does not tell the truth.,"Yes, Alexis lies.",-0.013350758197898223,
34,Audrie tells the truth.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.013894975884973057,
35,"Therefore, Alexis tells the truth.","Yes, Alexis lies.",-0.014711302415585298,
36,Delbert is lying.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.0166160643203472,
37,Christie is telling the truth.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.01845279901422476,
38,Audrie tells the truth.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.02028953370810231,
39,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,"Yes, Alexis lies.",-0.022194295612864207,
40,"If Alexis is telling the truth, then Christie is lying.","Yes, Alexis lies.",-0.024915384048238363,
41,Gwenn is telling the truth.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.026139873844156725,
42,"If Alexis is telling the truth, then Christie is lying.",Christie does not tell the truth.,-0.029518558651412966,
43,Audrie tells the truth.,"If Alexis is telling the truth, then Christie is lying.",-0.030947130079984404,
44,"If Alexis is telling the truth, then Christie is lying.",Christie is telling the truth.,-0.03364554277839709,
45,Delbert is lying.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.03389497588497306,
46,Alexis tells the truth,"Yes, Alexis lies.",-0.043282730987013865,
47,Gwenn is telling the truth.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.043418785408782586,
48,Delbert is lying.,"If Alexis is telling the truth, then Christie is lying.",-0.046820145953000276,
49,"If Alexis is telling the truth, then Christie is lying.",Gwenn is telling the truth.,-0.056343955476809794,
